receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,rho_FUNCTIONAL,rho_THETA_RKA,delta_rho
GRU,Maldives,123,2025,CROSS_ARCH_CROSS_SEED,1.1836444947077778,1.1878460588709883,-0.004201564163210492
GRU,Maldives,2025,42,CROSS_ARCH_CROSS_SEED,1.1490845853944505,1.6097703423072645,-0.460685756912814
GRU,Maldives,2025,123,CROSS_ARCH_CROSS_SEED,1.045151621220462,1.0407296169894646,0.004422004230997256
GRU,Maldives,2025,2025,CROSS_ARCH_SAME_SEED_ID,1.196324148791201,1.0685703550380095,0.12775379375319162
GRU,Mexico,42,42,CROSS_ARCH_SAME_SEED_ID,1.0423672339791514,2.0104713774182246,-0.9681041434390731
GRU,Mexico,42,123,CROSS_ARCH_CROSS_SEED,1.1506497133197326,0.6938225933867002,0.4568271199330325
GRU,Mexico,42,2025,CROSS_ARCH_CROSS_SEED,0.8734732747510617,1.2787988343255947,-0.405325559574533
GRU,Mexico,123,42,CROSS_ARCH_CROSS_SEED,2.1339464470221654,0.7421797864593388,1.3917666605628267
GRU,Mexico,123,123,CROSS_ARCH_SAME_SEED_ID,1.0159081494715403,1.966013725869605,-0.9501055763980648
GRU,Mexico,123,2025,CROSS_ARCH_CROSS_SEED,1.9667854446854707,1.1938896526828444,0.7728957920026263
GRU,Mexico,2025,42,CROSS_ARCH_CROSS_SEED,0.6145917073730082,0.7862886828288498,-0.17169697545584162
GRU,Mexico,2025,123,CROSS_ARCH_CROSS_SEED,1.7038329750846002,1.739455321372335,-0.03562234628773475
GRU,Mexico,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.28916817289084645,0.2959348399923597,-0.006766667101513246
GRU,Mongolia,42,42,CROSS_ARCH_SAME_SEED_ID,0.7984832176451113,0.9111374524120119,-0.11265423476690062
GRU,Mongolia,42,123,CROSS_ARCH_CROSS_SEED,1.2335244258129385,1.0749169113518948,0.1586075144610437
GRU,Mongolia,42,2025,CROSS_ARCH_CROSS_SEED,0.5427027271626871,0.43951904879862996,0.10318367836405712
GRU,Mongolia,123,42,CROSS_ARCH_CROSS_SEED,0.6821768820608812,0.8791258766608582,-0.19694899459997695
GRU,Mongolia,123,123,CROSS_ARCH_SAME_SEED_ID,0.7008404913135929,0.841952108857377,-0.1411116175437841
GRU,Mongolia,123,2025,CROSS_ARCH_CROSS_SEED,1.8899807860742601,2.318594177783365,-0.42861339170910484
GRU,Mongolia,2025,42,CROSS_ARCH_CROSS_SEED,1.3928435372356203,0.9629947084742996,0.4298488287613207
GRU,Mongolia,2025,123,CROSS_ARCH_CROSS_SEED,1.671422551990313,1.010970322828007,0.6604522291623061
GRU,Mongolia,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.22006336779876867,0.35912161375864865,-0.13905824595987998
GRU,Myanmar,42,42,CROSS_ARCH_SAME_SEED_ID,0.44611152433040685,0.5599772756752852,-0.11386575134487836
GRU,Myanmar,42,123,CROSS_ARCH_CROSS_SEED,1.2499489756822728,1.6997165616045726,-0.4497675859222998
GRU,Myanmar,42,2025,CROSS_ARCH_CROSS_SEED,0.6750637465298327,0.9059680343217514,-0.23090428779191874
GRU,Myanmar,123,42,CROSS_ARCH_CROSS_SEED,1.385453148320551,1.101631805735484,0.2838213425850671
